Max Price,Value_10,Value_09,Value_08,Value_07,Value_06,Value_05,Value_04,Value_03,Value_02,Value_01
600,1314,1315,1318,1319,1322,1324,1327,1329,1329,1336
650,1494,1495,1496,1496,1497,1498,1500,1500,1502,1506
700,1587,1587,1588,1588,1589,1589,1591,1592,1593,1594
750,1718,1718,1718,1719,1719,1720,1722,1722,1723,1729
800,1819,1819,1819,1822,1823,1823,1824,1824,1826,1829
850,1906,1908,1910,1910,1912,1912,1914,1914,1915,1919
900,1965,1965,1965,1966,1966,1968,1968,1970,1971,1973
950,1990,1990,1992,1992,1994,1994,1995,1995,1997,1998
1000,1992,1992,1994,1994,1995,1995,1997,1997,1998,1998
1100,1992,1992,1994,1994,1995,1995,1997,1997,1998,1998
